'Acvr2a: ', -0.1844, -1.2374, -0.0465, -0.3509, 1.8192

'Fgfr3: ', -1.0995, -0.647, -0.6194, 1.4912, 0.8748

'Wnt9a: ', -0.4061, -0.688, -0.5817, -0.3065, 1.9823

'Fzd8: ', 0.5877, -1.4489, -0.7573, 0.2296, 1.389

'Wnt3: ', -0.477, -1.4542, -0.2614, 1.401, 0.7915

'Bmpr1a: ', -0.7177, 1.3946, -1.4507, 0.6479, 0.1259

'Fzd1: ', 1.6835, -1.112, -0.9284, 0.2219, 0.135

'Smad3: ', 0.2563, -1.3056, -0.4315, -0.2463, 1.7271

'Lefty1: ', -0.2514, -0.6567, -0.4239, -0.6452, 1.9772

'Smad5: ', -1.6641, 1.308, 0.3331, 0.4635, -0.4405

'Pik3cd: ', -0.8039, -0.6209, 1.8399, 0.2908, -0.7059

'Map2k2: ', -1.2247, 0.7183, 1.4882, -0.1119, -0.8699

'Fzd3: ', -1.1392, -1.1844, 0.2106, 0.9507, 1.1624

'Wnt5b: ', 0.1223, -1.0258, 1.3765, 0.7448, -1.2179

'Fzd4: ', -0.5952, 1.9535, -0.4316, -0.7903, -0.1364

'Mapk11: ', -1.4494, -0.6214, 0.1357, 0.4097, 1.5254

'Akt3: ', -0.579, -0.8567, -0.5092, 0.029, 1.9159

'Myf5: ', -0.8152, -0.8152, -0.8152, 1.3119, 1.1337

'Hoxb1: ', -0.7697, -0.7697, 1.6823, -0.7697, 0.6267

'Bmpr1b: ', 1.4909, -0.5189, -1.476, 0.5703, -0.0662

'Pax6: ', -1.3141, 1.1046, -0.6164, -0.4032, 1.2291

'Apc: ', 1.3272, 0.0971, -1.7442, -0.1006, 0.4204

'Pcgf3: ', -1.931, 0.526, 0.646, -0.0009, 0.7598

'Fzd6: ', -0.8989, -0.4882, -0.2583, -0.3027, 1.9481

'Wnt8a: ', -1.4569, -0.7436, 1.3826, 0.6071, 0.2108

'Fgfr1: ', -1.085, -0.9353, -0.234, 0.7075, 1.5468

'Fgfr2: ', -1.0959, -0.7854, 0.0007, 0.0994, 1.7811

'Mapk3: ', -1.0976, -1.2315, 0.418, 0.583, 1.3282

'Mapk14: ', -1.2987, 1.7138, 0.2587, -0.1342, -0.5397

'Fzd2: ', -1.3003, -0.9873, 0.3197, 0.5991, 1.3688

'Kras: ', -0.8646, -0.6832, -0.2234, -0.1553, 1.9265

'Pcgf6: ', -1.5336, 0.8894, 1.1927, 0.1028, -0.6512

'Tcf7: ', -0.3544, -1.81, 0.6764, 0.6143, 0.8737

'Tcf3: ', -1.4664, -0.1417, 1.4094, 0.7411, -0.5423

'Acvr2b: ', -1.4936, -0.1771, -0.4963, 1.3515, 0.8155

'Wnt16: ', -0.7301, -0.5704, -0.3589, -0.3183, 1.9777

'Mapk12: ', -0.8313, -0.7729, -0.3278, 0.0338, 1.8982

'Pik3r2: ', -1.4672, -0.7169, 1.2966, 0.0842, 0.8033

'Nras: ', -1.7527, -0.2252, 0.9518, 0.9848, 0.0413

'Zfhx3: ', -1.5961, -0.306, 0.1097, 0.2876, 1.5047

'Hras: ', -1.639, -0.5049, 1.2016, 0.7635, 0.1788

'Lif: ', 0.119, -1.4054, -0.498, 0.1271, 1.6573

'Skil: ', -1.7244, -0.4733, 1.0823, 0.49, 0.6254

'Fzd7: ', -1.7579, -0.4725, 0.7619, 0.8521, 0.6164

